"","gdp","gdp_nprim","gdp_nprim_wo_manuf","gdp_prim","mining","manufacturing","manufacturing_nprim","electricity","construction","commerce","services","transport","restaurants","telecom","finserv","firmserv","publicadm","otherserv","totalserv"
"RMSE",6.49888399346463,6.81879364808633,7.42431235978376,128.853468154976,207.291360625685,1160.04618634106,477.072511062284,1.58983913768243,276.761975500383,13.7677659745332,7.33496186769038,14.4318892236424,23.9744575324337,113.287130273718,11.1262555629834,14.4202606585188,0.407262248750977,7.9968254329508,6.46699083277951
"Match",0.894736842105263,0.789473684210526,0.684210526315789,0.684210526315789,0.684210526315789,0.736842105263158,0.842105263157895,0.947368421052632,0.631578947368421,0.631578947368421,0.421052631578947,0.473684210526316,0.210526315789474,0.421052631578947,0.421052631578947,0.842105263157895,0.421052631578947,0.526315789473684,0.315789473684211
"August prediction",-8.97790052396504,-13.0250824830162,-13.6591134484999,-5.9727509210116,-10.0008849061904,-14.6934264827777,-12.231189100227,-4.78422692538584,-24.7206326824833,-17.16097819964,-9.70578946596449,-24.0924982977511,-41.6958179387997,5.52634313330231,6.91399769200224,-18.1361587885485,4.37311793375147,-8.98169693756359,-11.0067446220918
"September prediction",-6.53287586060396,-10.9502712613702,-12.3297407605607,-3.54102057105435,-7.00753134442856,-12.1210929823343,-9.2114651779979,-2.12140938513595,-18.9622414565074,-15.6946953404708,-7.46643174755384,-19.9407838593857,-37.5038569993923,5.7070006962796,7.51704980361816,-13.6905907667984,4.45541789170073,-7.63392742976898,-9.08157662936599
